combinedPval adjustedPval
GAPDH 3.93367182225379e-05 0.0197119631520966
USP4 0.115088308463985 1
MAPKAPK2 0.00347111273089318 0.371552340246348
CPEB1 0.641218145130756 1
LANCL2 0.680012274611292 1
MCL1 2.12865280957431e-11 1.33515827875693e-07
TMEM109 0.148344888782235 1
TMEM189 0.234667847704538 1
ITPK1 0.103449497836131 1
UBXN11 0.685492910834955 1
SCARB1 0.0127139242245475 0.863282799610955
USP28 0.206320513350785 1
NUDT21 0.959359175460025 1
LDHB 0.000266854298707098 0.0675143980355721
SEC62 0.00791615762811415 0.635992281240784
SRF 0.0574309441722685 1
EEF1G 0.810553285197532 1
COX6C 6.95303636223388e-05 0.0288341423348718
KIF2A 0.139224508268284 1
ESRP1 0.000444259203101316 0.090865240681821
RPL39 0.00024041150203058 0.0632700788056739
MFF 0.0283514707397605 1
AATF 0.0109483942094797 0.782392454195322
ICMT 0.0328901549916872 1
NENF 3.73489243199465e-07 0.000562234201284315
ZNF585A 0.160993631527031 1
COL6A3 5.85087533977457e-14 6.77511474739486e-10
RPS5 0.0265206610697303 1
C4B 7.93641152796454e-09 2.25417418570374e-05
C12orf57 0.000267802151562524 0.0675272234693825
TUBB 0.0110404450000776 0.78654983426928
H3F3A 4.74632020479593e-05 0.0229003227066776
CAB39L 0.155755885604234 1
KRT7 0.000313117320591472 0.074149701997593
RPL21 0.00353932860658079 0.377600912297802
GPX1 0.00830407848938075 0.657388768402502
TMEM176A 0.616553489469187 1
ZNF146 0.0306388769530654 1
AP1G1 0.00376319411825365 0.393399036153807
PLK2 0.000795908710846671 0.135534592771797
NKG7 0.771487187478617 1
ASCC3 0.0340499166675592 1
PDZK1IP1 0.304708936028446 1
CD63 1.73015492409556e-05 0.0110829734588929
TCEB2 0.0879158752161873 1
RPL34 5.88679382158563e-05 0.0260638801964815
NBR1 0.00220938315169772 0.276458752710256
CDC37 0.0308178417178353 1
SLC35F5 0.00137908562635658 0.202735796548633
SUSD6 0.0802676740715995 1
WIZ 0.340073545246301 1
YAF2 0.62075722259166 1
TMEM43 0.0533077193524645 1
APOA1BP 0.112200735625116 1
CLCN7 0.000886738029706846 0.146433330068574
OAZ1 0.000142931288283465 0.0443858710565938
WEE1 0.0205917537917506 1
SUB1 0.00233138506413022 0.286261341417402
ACTN4 0.00623423045990967 0.550019178323052
HIPK1 0.116129270193478 1
CCT4 0.00158743243046511 0.223750058819679
CCNY 0.1213240434084 1
H2AFJ 0.00221298377007584 0.276458752710256
LTBP2 5.04904906745152e-05 0.0238263803635611
RPL13 1.31351540089142e-07 0.000259708248521219
PSME4 0.0116776220084214 0.816866919517541
ARPC3 0.000267664068095863 0.0675272234693825
BANF1 0.0708978792256973 1
CAST 7.67535157307764e-05 0.0304858444987822
UQCR11 0.000747916732951603 0.130479437559087
MYL9 0.0242046241987866 1
FUS 0.00320509970203375 0.351151051676275
IFI6 2.10056495903999e-05 0.0127503937907055
POLD4 0.997734063623503 1
GPR135 0.284577777131646 1
OPA1 0.000238068949357961 0.0629839148503311
SNX9 0.00623694898393934 0.550019178323052
FAH 0.204841730263496 1
SLC39A10 0.304179430238613 1
TRAPPC13 0.38088553259001 1
DUSP10 0.0704414133675944 1
HSP90AB1 6.16140256082254e-05 0.0268843568904369
MBD2 5.12386647397722e-05 0.0239788232837134
CCDC115 0.544558022410818 1
TXNIP 0.0226419683198631 1
ANXA9 0.0617522921549549 1
DPP3 0.0630450025020803 1
MTF2 0.295139777855549 1
TMBIM6 1.43215626113857e-06 0.00155101060786627
CTSO 0.0105170639516117 0.764906266133743
ADD1 0.084782123240428 1
TMEM63B 0.185283173345028 1
IGFBP7 9.2031692078498e-05 0.034462796553045
H1FX 0.00192467971907995 0.249562054785997
ALDH1B1 0.0303985291779559 1
TXNDC17 0.00452547764121025 0.447598820555147
MMS19 0.87085096501681 1
CFDP1 0.036660997451986 1
TAF7 0.99088748404989 1
PARK7 0.0458730665869258 1
