projection gaus1 gaus2 gaus3 gaus4 gaus5 cos1 cos2 cos3 cos4 cos5
GAPDH 0.000281898095508715 0.000421268719660084 1.79709575072184e-05 1.01488404384842e-05 1.21790161217161e-05 2.71335572848974e-05 0.0552763807908641 0.161252882473539 0.167504840370615 0.905356194864471 0.00180135716840069
USP4 0.416656910018502 0.095701205012966 0.0828438743820471 0.135642678095305 0.236552362201011 0.37320928646292 0.0233619811296231 0.255913731977692 0.373687984800025 0.534723246115847 0.0949546902971773
MAPKAPK2 0.000342455534146024 0.172991792013897 0.0235213950278954 0.0124893140791942 0.0120381651480502 0.0144720932955188 0.337850498303902 0.901560774354711 0.838721744682112 0.949392246610539 0.293143048727785
CPEB1 0.199532190092624 0.710526483383717 0.529658917432998 0.482304819960339 0.493266517049345 0.508970907989982 0.943078174954655 0.335212529669255 0.297531694007292 0.547022561548466 0.803855186329728
LANCL2 0.127018703839763 0.64100520267157 0.282600479062578 0.24938137900802 0.262492426167301 0.301100331083439 0.259628086316705 0.974271760298403 0.813163550551036 0.651990934114099 0.23734535098434
MCL1 1.93509460744291e-12 0.148314414758611 0.057135098350936 0.0205184526524702 0.011799015735553 0.00896026746470013 0.149559081752447 0.382720065290009 0.729396026854513 0.510069849832237 0.72211792345
TMEM109 0.0150984662513222 0.342463614529376 0.435186590914077 0.313062663146566 0.266557822910056 0.266319801353003 0.859031854385408 0.454598867467225 0.864005178703515 0.121759168599135 0.702131337015742
TMEM189 0.158302234254325 0.29402903056075 0.444898146601835 0.415582752722156 0.425535335760623 0.469430306022199 0.168473158484845 0.40852619772924 0.0324439443052797 0.891056009374493 0.575004582034142
ITPK1 0.100773696181679 0.376313264505621 0.0452883795259302 0.0448934373129763 0.0608625617170092 0.0872595547505812 0.441947310712752 0.564754239667573 0.400815542100626 0.49542694573107 0.0515258059461304
UBXN11 0.0291728503683774 0.816912933670982 0.791351985795097 0.808845887516638 0.871317391072542 0.903274732635845 0.790967174656291 0.367105120642088 0.913226877861399 0.903722431404194 0.686984846724383
SCARB1 0.00932120111238732 0.00740174603537846 0.00694137903731651 0.011827345909786 0.0179296709119638 0.0258741031257043 0.00372435646941049 0.833026313989762 0.784300028956726 0.128766284187307 0.0301415212310188
USP28 0.277779874714614 0.919210413930908 0.723305540308969 0.624619433125328 0.639247687671766 0.67193031069896 0.057260580439823 0.530273766697656 0.669790673600311 0.0196456227455573 0.769303857079884
NUDT21 0.022006339612765 0.63150892169967 0.266173585833457 0.174291550688567 0.137140352967318 0.129137172628297 0.228715598870262 0.653238263135015 0.42298507108767 0.997020093148885 0.712567139126719
LDHB 3.16887593379001e-05 0.032371020945795 0.0007994246948827 0.000285395038590042 0.0003141984995092 0.000607101197417803 0.604373982404 0.327720805825713 0.373112901559135 0.640895884045078 0.020831825654142
SEC62 0.000814170575192508 0.248461217486116 0.02793929555178 0.0397056927492508 0.0752424402774946 0.134589147727893 0.237768128222321 0.578266222204292 0.490526720787365 0.19120258249211 0.0143166295380517
SRF 0.00585649559313151 0.291835291062845 0.296521803370629 0.280205262662004 0.298684203798192 0.326304873141518 0.204082076732058 0.740924953140883 0.135760890262993 0.421805544599433 0.663476595223337
EEF1G 0.26921236289875 0.982839034868864 0.598555137447004 0.292986059502103 0.176312102634406 0.12701339850158 0.223828485997034 0.833816964096712 0.422728823381989 0.772011823816427 0.819643162205866
