x	y	total_counts
17.907x4.967	17.907	4.967	1007
18.965x5.003	18.965	5.003	2562
18.954x5.995	18.954	5.995	2599
17.846x5.993	17.846	5.993	1375
20.016x6.019	20.016	6.019	1305
20.889x6.956	20.889	6.956	4229
20.062x6.974	20.062	6.974	2668
16.98x6.989	16.98	6.989	3258
17.918x6.991	17.918	6.991	1790
18.877x6.984	18.877	6.984	2076
21.847x7.896	21.847	7.896	3033
20.901x7.965	20.901	7.965	2784
23.118x7.985	23.118	7.985	2
19.974x7.988	19.974	7.988	2538
17.904x8.003	17.904	8.003	1259
18.948x8.031	18.948	8.031	2082
16.753x8.02	16.753	8.02	1463
21.849x8.887	21.849	8.887	6778
20.936x8.944	20.936	8.944	2670
17.928x8.984	17.928	8.984	3211
23.097x9.011	23.097	9.011	5822
24.076x8.991	24.076	8.991	4635
18.939x9.0	18.939	9	3226
19.925x8.992	19.925	8.992	4351
14.901x9.04	14.901	9.04	3467
15.971x9.014	15.971	9.014	2437
16.783x9.018	16.783	9.018	2766
21.892x9.87	21.892	9.87	4860
20.806x9.928	20.806	9.928	7737
24.931x9.981	24.931	9.981	3607
23.152x10.0	23.152	10	4297
17.922x9.987	17.922	9.987	6448
20.05x9.97	20.05	9.97	3968
13.961x10.011	13.961	10.011	1009
24.085x9.99	24.085	9.99	3089
18.824x9.985	18.824	9.985	2499
16.029x10.012	16.029	10.012	7038
16.909x10.017	16.909	10.017	7872
14.907x10.046	14.907	10.046	7478
21.86x10.874	21.86	10.874	6315
23.039x10.98	23.039	10.98	6592
20.87x10.952	20.87	10.952	5841
24.057x10.967	24.057	10.967	3971
20.003x10.972	20.003	10.972	3307
25.949x10.985	25.949	10.985	3019
24.917x10.977	24.917	10.977	3150
17.897x10.988	17.897	10.988	2817
16.889x11.002	16.889	11.002	11421
14.947x11.026	14.947	11.026	6753
18.899x11.016	18.899	11.016	3861
13.894x11.02	13.894	11.02	1952
15.936x11.026	15.936	11.026	7827
21.842x11.852	21.842	11.852	7516
20.926x11.911	20.926	11.911	8487
24.038x11.933	24.038	11.933	5476
19.951x11.941	19.951	11.941	5753
27.002x11.945	27.002	11.945	3794
18.948x11.948	18.948	11.948	4457
23.062x11.974	23.062	11.974	4809
17.92x11.965	17.92	11.965	3503
13.936x11.976	13.936	11.976	3344
14.955x11.98	14.955	11.98	11041
12.987x11.976	12.987	11.976	6306
16.905x11.977	16.905	11.977	7980
24.959x11.972	24.959	11.972	5658
